year,age,person,monthly_benefit
2026,59,Sarah,0.0
2026,60,Tom,0.0
2027,60,Sarah,0.0
2027,61,Tom,0.0
2028,61,Sarah,0.0
2028,62,Tom,0.0
2029,62,Sarah,0.0
2029,63,Tom,0.0
2030,63,Sarah,0.0
2030,64,Tom,0.0
2031,64,Sarah,0.0
2031,65,Tom,0.0
2032,65,Sarah,0.0
2032,66,Tom,0.0
2033,66,Sarah,0.0
2033,67,Tom,0.0
2034,67,Sarah,0.0
2034,68,Tom,0.0
2035,68,Sarah,0.0
2035,69,Tom,0.0
2036,69,Sarah,0.0
2036,70,Tom,5236.52
2037,70,Sarah,5236.52
2037,71,Tom,5341.25
2038,71,Sarah,5341.25
2038,72,Tom,5448.08
2039,72,Sarah,5448.08
2039,73,Tom,5557.04
2040,73,Sarah,5557.04
2040,74,Tom,5668.18
2041,74,Sarah,5668.18
2041,75,Tom,5781.54
2042,75,Sarah,5781.54
2042,76,Tom,5897.17
2043,76,Sarah,5897.17
2043,77,Tom,6015.12
2044,77,Sarah,6015.12
2044,78,Tom,6135.42
2045,78,Sarah,6135.42
2045,79,Tom,6258.13
2046,79,Sarah,6258.13
2046,80,Tom,6383.29
2047,80,Sarah,6383.29
2047,81,Tom,6510.95
2048,81,Sarah,6510.95
2048,82,Tom,6641.17
2049,82,Sarah,6641.17
2049,83,Tom,6774.0
2050,83,Sarah,6774.0
2050,84,Tom,6909.48
2051,84,Sarah,6909.48
2051,85,Tom,7047.67
2052,85,Sarah,7047.67
2052,86,Tom,7188.62
2053,86,Sarah,7188.62
2053,87,Tom,7332.39
2054,87,Sarah,7332.39
2054,88,Tom,7479.04
2055,88,Sarah,7479.04
2055,89,Tom,7628.62
2056,89,Sarah,7628.62
2056,90,Tom,7781.19
